"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1501_C01_001E","Total!!Estimate!!Population 18 to 24 years"
"S1501_C01_001M","Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_001MA","Annotation of Total!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_001EA","Annotation of Total!!Estimate!!Population 18 to 24 years"
"S1501_C02_001E","Percent!!Estimate!!Population 18 to 24 years"
"S1501_C02_001EA","Annotation of Percent!!Estimate!!Population 18 to 24 years"
"S1501_C02_001M","Percent!!Margin of Error!!Population 18 to 24 years"
"S1501_C02_001MA","Annotation of Percent!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_001E","Male!!Estimate!!Population 18 to 24 years"
"S1501_C03_001EA","Annotation of Male!!Estimate!!Population 18 to 24 years"
"S1501_C03_001M","Male!!Margin of Error!!Population 18 to 24 years"
"S1501_C03_001MA","Annotation of Male!!Margin of Error!!Population 18 to 24 years"
"S1501_C04_001E","Percent Male!!Estimate!!Population 18 to 24 years"
"S1501_C04_001M","Percent Male!!Margin of Error!!Population 18 to 24 years"
"S1501_C04_001MA","Annotation of Percent Male!!Margin of Error!!Population 18 to 24 years"
"S1501_C04_001EA","Annotation of Percent Male!!Estimate!!Population 18 to 24 years"
"S1501_C05_001E","Female!!Estimate!!Population 18 to 24 years"
"S1501_C05_001M","Female!!Margin of Error!!Population 18 to 24 years"
"S1501_C05_001MA","Annotation of Female!!Margin of Error!!Population 18 to 24 years"
"S1501_C05_001EA","Annotation of Female!!Estimate!!Population 18 to 24 years"
"S1501_C06_001E","Percent Female!!Estimate!!Population 18 to 24 years"
"S1501_C06_001EA","Annotation of Percent Female!!Estimate!!Population 18 to 24 years"
"S1501_C06_001M","Percent Female!!Margin of Error!!Population 18 to 24 years"
"S1501_C06_001MA","Annotation of Percent Female!!Margin of Error!!Population 18 to 24 years"
"S1501_C01_002E","Total!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_002EA","Annotation of Total!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_002M","Total!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C01_002MA","Annotation of Total!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002E","Percent!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002EA","Annotation of Percent!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002M","Percent!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C02_002MA","Annotation of Percent!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002E","Male!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002EA","Annotation of Male!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002M","Male!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C03_002MA","Annotation of Male!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002E","Percent Male!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002EA","Annotation of Percent Male!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002M","Percent Male!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C04_002MA","Annotation of Percent Male!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002E","Female!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002M","Female!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002MA","Annotation of Female!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C05_002EA","Annotation of Female!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002E","Percent Female!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002EA","Annotation of Percent Female!!Estimate!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002M","Percent Female!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
"S1501_C06_002MA","Annotation of Percent Female!!Margin of Error!!Population 18 to 24 years!!Less than high school graduate"
