"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1101_C01_001E","Total!!Estimate!!Total households"
"S1101_C01_001M","Total!!Margin of Error!!Total households"
"S1101_C01_001MA","Annotation of Total!!Margin of Error!!Total households"
"S1101_C01_001EA","Annotation of Total!!Estimate!!Total households"
"S1101_C02_001E","Married-couple family household!!Estimate!!Total households"
"S1101_C02_001M","Married-couple family household!!Margin of Error!!Total households"
"S1101_C02_001MA","Annotation of Married-couple family household!!Margin of Error!!Total households"
"S1101_C02_001EA","Annotation of Married-couple family household!!Estimate!!Total households"
"S1101_C03_001E","Male householder, no wife present, family household!!Estimate!!Total households"
"S1101_C03_001EA","Annotation of Male householder, no wife present, family household!!Estimate!!Total households"
"S1101_C03_001M","Male householder, no wife present, family household!!Margin of Error!!Total households"
"S1101_C03_001MA","Annotation of Male householder, no wife present, family household!!Margin of Error!!Total households"
"S1101_C04_001E","Female householder, no husband present, family household!!Estimate!!Total households"
"S1101_C04_001M","Female householder, no husband present, family household!!Margin of Error!!Total households"
"S1101_C04_001MA","Annotation of Female householder, no husband present, family household!!Margin of Error!!Total households"
"S1101_C04_001EA","Annotation of Female householder, no husband present, family household!!Estimate!!Total households"
"S1101_C05_001E","Nonfamily household!!Estimate!!Total households"
"S1101_C05_001M","Nonfamily household!!Margin of Error!!Total households"
"S1101_C05_001MA","Annotation of Nonfamily household!!Margin of Error!!Total households"
"S1101_C05_001EA","Annotation of Nonfamily household!!Estimate!!Total households"
"S1101_C01_002E","Total!!Estimate!!Average household size"
"S1101_C01_002EA","Annotation of Total!!Estimate!!Average household size"
"S1101_C01_002M","Total!!Margin of Error!!Average household size"
"S1101_C01_002MA","Annotation of Total!!Margin of Error!!Average household size"
"S1101_C02_002E","Married-couple family household!!Estimate!!Average household size"
"S1101_C02_002M","Married-couple family household!!Margin of Error!!Average household size"
"S1101_C02_002MA","Annotation of Married-couple family household!!Margin of Error!!Average household size"
"S1101_C02_002EA","Annotation of Married-couple family household!!Estimate!!Average household size"
"S1101_C03_002E","Male householder, no wife present, family household!!Estimate!!Average household size"
"S1101_C03_002EA","Annotation of Male householder, no wife present, family household!!Estimate!!Average household size"
"S1101_C03_002M","Male householder, no wife present, family household!!Margin of Error!!Average household size"
"S1101_C03_002MA","Annotation of Male householder, no wife present, family household!!Margin of Error!!Average household size"
"S1101_C04_002E","Female householder, no husband present, family household!!Estimate!!Average household size"
"S1101_C04_002EA","Annotation of Female householder, no husband present, family household!!Estimate!!Average household size"
"S1101_C04_002M","Female householder, no husband present, family household!!Margin of Error!!Average household size"
"S1101_C04_002MA","Annotation of Female householder, no husband present, family household!!Margin of Error!!Average household size"
"S1101_C05_002E","Nonfamily household!!Estimate!!Average household size"
"S1101_C05_002M","Nonfamily household!!Margin of Error!!Average household size"
"S1101_C05_002MA","Annotation of Nonfamily household!!Margin of Error!!Average household size"
"S1101_C05_002EA","Annotation of Nonfamily household!!Estimate!!Average household size"
"S1101_C01_003E","Total!!Estimate!!FAMILIES!!Total families"
"S1101_C01_003EA","Annotation of Total!!Estimate!!FAMILIES!!Total families"
"S1101_C01_003M","Total!!Margin of Error!!FAMILIES!!Total families"
"S1101_C01_003MA","Annotation of Total!!Margin of Error!!FAMILIES!!Total families"
"S1101_C02_003E","Married-couple family household!!Estimate!!FAMILIES!!Total families"
"S1101_C02_003M","Married-couple family household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C02_003MA","Annotation of Married-couple family household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C02_003EA","Annotation of Married-couple family household!!Estimate!!FAMILIES!!Total families"
"S1101_C03_003E","Male householder, no wife present, family household!!Estimate!!FAMILIES!!Total families"
"S1101_C03_003M","Male householder, no wife present, family household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C03_003MA","Annotation of Male householder, no wife present, family household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C03_003EA","Annotation of Male householder, no wife present, family household!!Estimate!!FAMILIES!!Total families"
"S1101_C04_003E","Female householder, no husband present, family household!!Estimate!!FAMILIES!!Total families"
"S1101_C04_003EA","Annotation of Female householder, no husband present, family household!!Estimate!!FAMILIES!!Total families"
