"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1902_C01_001E","Number!!Estimate!!All households"
"S1902_C01_001EA","Annotation of Number!!Estimate!!All households"
"S1902_C01_001M","Number!!Margin of Error!!All households"
"S1902_C01_001MA","Annotation of Number!!Margin of Error!!All households"
"S1902_C02_001E","Percent Distribution!!Estimate!!All households"
"S1902_C02_001M","Percent Distribution!!Margin of Error!!All households"
"S1902_C02_001MA","Annotation of Percent Distribution!!Margin of Error!!All households"
"S1902_C02_001EA","Annotation of Percent Distribution!!Estimate!!All households"
"S1902_C03_001E","Mean income (dollars)!!Estimate!!All households"
"S1902_C03_001EA","Annotation of Mean income (dollars)!!Estimate!!All households"
"S1902_C03_001M","Mean income (dollars)!!Margin of Error!!All households"
"S1902_C03_001MA","Annotation of Mean income (dollars)!!Margin of Error!!All households"
"S1902_C01_002E","Number!!Estimate!!All households!!With earnings"
"S1902_C01_002EA","Annotation of Number!!Estimate!!All households!!With earnings"
"S1902_C01_002M","Number!!Margin of Error!!All households!!With earnings"
"S1902_C01_002MA","Annotation of Number!!Margin of Error!!All households!!With earnings"
"S1902_C02_002E","Percent Distribution!!Estimate!!All households!!With earnings"
"S1902_C02_002M","Percent Distribution!!Margin of Error!!All households!!With earnings"
"S1902_C02_002MA","Annotation of Percent Distribution!!Margin of Error!!All households!!With earnings"
"S1902_C02_002EA","Annotation of Percent Distribution!!Estimate!!All households!!With earnings"
"S1902_C03_002E","Mean income (dollars)!!Estimate!!All households!!With earnings"
"S1902_C03_002EA","Annotation of Mean income (dollars)!!Estimate!!All households!!With earnings"
"S1902_C03_002M","Mean income (dollars)!!Margin of Error!!All households!!With earnings"
"S1902_C03_002MA","Annotation of Mean income (dollars)!!Margin of Error!!All households!!With earnings"
"S1902_C01_003E","Number!!Estimate!!All households!!With earnings!!With wages or salary income"
"S1902_C01_003EA","Annotation of Number!!Estimate!!All households!!With earnings!!With wages or salary income"
"S1902_C01_003M","Number!!Margin of Error!!All households!!With earnings!!With wages or salary income"
"S1902_C01_003MA","Annotation of Number!!Margin of Error!!All households!!With earnings!!With wages or salary income"
"S1902_C02_003E","Percent Distribution!!Estimate!!All households!!With earnings!!With wages or salary income"
"S1902_C02_003M","Percent Distribution!!Margin of Error!!All households!!With earnings!!With wages or salary income"
"S1902_C02_003MA","Annotation of Percent Distribution!!Margin of Error!!All households!!With earnings!!With wages or salary income"
"S1902_C02_003EA","Annotation of Percent Distribution!!Estimate!!All households!!With earnings!!With wages or salary income"
"S1902_C03_003E","Mean income (dollars)!!Estimate!!All households!!With earnings!!With wages or salary income"
"S1902_C03_003EA","Annotation of Mean income (dollars)!!Estimate!!All households!!With earnings!!With wages or salary income"
"S1902_C03_003M","Mean income (dollars)!!Margin of Error!!All households!!With earnings!!With wages or salary income"
"S1902_C03_003MA","Annotation of Mean income (dollars)!!Margin of Error!!All households!!With earnings!!With wages or salary income"
"S1902_C01_004E","Number!!Estimate!!All households!!With earnings!!With self-employment income"
"S1902_C01_004EA","Annotation of Number!!Estimate!!All households!!With earnings!!With self-employment income"
"S1902_C01_004M","Number!!Margin of Error!!All households!!With earnings!!With self-employment income"
"S1902_C01_004MA","Annotation of Number!!Margin of Error!!All households!!With earnings!!With self-employment income"
"S1902_C02_004E","Percent Distribution!!Estimate!!All households!!With earnings!!With self-employment income"
"S1902_C02_004M","Percent Distribution!!Margin of Error!!All households!!With earnings!!With self-employment income"
"S1902_C02_004MA","Annotation of Percent Distribution!!Margin of Error!!All households!!With earnings!!With self-employment income"
"S1902_C02_004EA","Annotation of Percent Distribution!!Estimate!!All households!!With earnings!!With self-employment income"
"S1902_C03_004E","Mean income (dollars)!!Estimate!!All households!!With earnings!!With self-employment income"
"S1902_C03_004EA","Annotation of Mean income (dollars)!!Estimate!!All households!!With earnings!!With self-employment income"
"S1902_C03_004M","Mean income (dollars)!!Margin of Error!!All households!!With earnings!!With self-employment income"
"S1902_C03_004MA","Annotation of Mean income (dollars)!!Margin of Error!!All households!!With earnings!!With self-employment income"
"S1902_C01_005E","Number!!Estimate!!All households!!With interest, dividends, or net rental income"
"S1902_C01_005EA","Annotation of Number!!Estimate!!All households!!With interest, dividends, or net rental income"
